name,onlineorder,booktable,rate,location,cuisines,cost,type,city,Mean Rating
My Tea House,TRUE,FALSE,36,Banashankari,Italian Fast Food Cafe European,600,Cafes,Banashankari,332
SrinathjiS Cafe,FALSE,FALSE,38,Basavanagudi,North Indian Cafe Chinese Fast Food,550,Cafes,Banashankari,358
Redberrys,TRUE,FALSE,4,Basavanagudi,Cafe Italian,600,Cafes,Banashankari,384
Foodiction,TRUE,FALSE,28,Banashankari,North Indian Fast Food Chinese Burger,500,,,
Ovenstory Pizza,TRUE,FALSE,39,Banashankari,Pizza,750,Delivery,Banashankari,378
Faasos,TRUE,FALSE,42,Banashankari,North Indian Biryani Fast Food,500,Delivery,Banashankari,376
Behrouz Biryani,TRUE,FALSE,39,Banashankari,Biryani,650,Delivery,Banashankari,384
Szechuan Dragon,TRUE,FALSE,42,Banashankari,Chinese Thai Momos,600,Delivery,Banashankari,392
Empire Restaurant,TRUE,FALSE,44,Jayanagar,North Indian Mughlai South Indian Chinese,750,Delivery,Banashankari,389
Chaatimes,TRUE,FALSE,38,Basavanagudi,Street Food Fast Food,200,Delivery,Banashankari,34
McdonaldS,TRUE,FALSE,39,Banashankari,Burger Fast Food,500,Delivery,Banashankari,329
DominoS Pizza,TRUE,FALSE,39,Banashankari,Pizza Fast Food,800,Delivery,Banashankari,332
Onesta,TRUE,TRUE,46,Banashankari,Pizza Cafe Italian,600,,,
Hotboxit,FALSE,FALSE,38,Banashankari,North Indian Continental Italian,400,Delivery,Banashankari,358
Kitchen Garden,TRUE,FALSE,36,Kumaraswamy Layout,North Indian Chinese,300,Delivery,Banashankari,332
Recipe,TRUE,FALSE,4,Kumaraswamy Layout,North Indian Chinese Biryani Rolls,450,Delivery,Banashankari,384
Beijing Bites,TRUE,FALSE,37,Rajarajeshwari Nagar,Chinese Thai,850,Delivery,Banashankari,337
Tasty Bytes,TRUE,FALSE,31,Kumaraswamy Layout,North Indian Chinese Momos Rolls,300,Delivery,Banashankari,268
Corner House Ice Cream,FALSE,FALSE,43,Banashankari,Ice Cream Desserts,400,Delivery,Banashankari,444
Biryanis And More,TRUE,FALSE,4,Jayanagar,Biryani North Indian Chinese Andhra South Indian,750,Delivery,Banashankari,39
Roving Feast,FALSE,FALSE,4,Banashankari,Italian Continental Fast Food Chinese Momos,450,Delivery,Banashankari,384
Freshmenu,TRUE,FALSE,39,Banashankari,Healthy Food Chinese Biryani North Indian Continental Salad American Burger,450,Delivery,Banashankari,333
Wamama,TRUE,TRUE,42,Banashankari,Asian Korean Indonesian Japanese Chinese Thai Momos,800,Delivery,Banashankari,41
Peppy Peppers,FALSE,FALSE,42,Banashankari,Italian North Indian Mexican,800,,,
Goa 0 Km,TRUE,TRUE,36,Kumaraswamy Layout,Goan Seafood North Indian Chinese Biryani,800,Delivery,Banashankari,332
1947,FALSE,TRUE,4,Banashankari,North Indian Chinese,850,Delivery,Banashankari,387
Kabab Magic,TRUE,FALSE,41,Basavanagudi,North Indian Kebab Chinese Fast Food,400,Delivery,Banashankari,332
Gustoes Beer House,FALSE,FALSE,41,Banashankari,Continental Italian Mexican North Indian Chinese Steak,12,Delivery,Banashankari,397
The Biryani Cafe,FALSE,FALSE,41,Banashankari,Biryani Chinese Kebab,300,Delivery,Banashankari,397
Rolls On Wheels,FALSE,FALSE,36,Banashankari,Fast Food Rolls Momos,300,Delivery,Banashankari,289
Sri Guru Kottureshwara Davangere Benne Dosa,TRUE,FALSE,41,Basavanagudi,South Indian,150,Delivery,Banashankari,397
Upahar Sagar,FALSE,FALSE,38,Banashankari,South Indian Chinese North Indian,350,Delivery,Banashankari,358
Frozen Bottle,TRUE,FALSE,42,Banashankari,Beverages Desserts Ice Cream,400,Delivery,Banashankari,392
Meghana Foods,TRUE,FALSE,44,Jayanagar,Biryani North Indian Chinese,600,Delivery,Banashankari,428
Nandhini Deluxe,FALSE,FALSE,26,Banashankari,North Indian,600,Delivery,Banashankari,3
Vi RaS Bar And Restaurant,FALSE,FALSE,33,Banashankari,South Indian North Indian Chinese,800,Delivery,Banashankari,294
Chatar Patar,FALSE,FALSE,37,Banashankari,Fast Food Street Food,300,Delivery,Banashankari,343
Polar Bear,TRUE,FALSE,38,Basavanagudi,Ice Cream Desserts Beverages Sandwich,400,Delivery,Banashankari,385
KidambiS Kitchen,FALSE,FALSE,35,Banashankari,South Indian,300,Delivery,Banashankari,317
Mane Thindi,FALSE,FALSE,37,Banashankari,South Indian,200,Delivery,Banashankari,345
FlouredBaked With Love,FALSE,FALSE,38,Banashankari,Bakery,400,Delivery,Banashankari,358
Bengaluru Coffee House,TRUE,FALSE,41,Banashankari,South Indian North Indian Chinese Street Food,300,Delivery,Banashankari,397
Anna Kuteera,TRUE,FALSE,4,Banashankari,South Indian North Indian Chinese,450,Delivery,Banashankari,367
Darbar,FALSE,FALSE,3,Banashankari,North Indian Chinese,800,Delivery,Banashankari,255
Sri Udupi Food Hub,TRUE,TRUE,41,Jayanagar,South Indian North Indian Chinese Beverages,500,Delivery,Banashankari,397
House Of Kebabs,TRUE,FALSE,38,Basavanagudi,North Indian Kebab Biryani Chinese,650,Delivery,Banashankari,361
Roll N Rock,TRUE,FALSE,38,Kumaraswamy Layout,Chinese North Indian Mughlai Rolls,400,Delivery,Banashankari,365
Bo Desi Meals,TRUE,FALSE,41,Banashankari,North Indian Mughlai Fast Food,500,Delivery,Banashankari,412
Kfc,TRUE,FALSE,38,Banashankari,Burger Fast Food,450,Delivery,Banashankari,339
Roll Over,TRUE,FALSE,41,Jayanagar,Desserts Ice Cream Beverages Fast Food Sandwich,500,Delivery,Banashankari,393
Imperial Restaurant,TRUE,FALSE,37,Mysore Road,North Indian Chinese Biryani Beverages,750,Delivery,Banashankari,35
Wahab,TRUE,FALSE,37,Jayanagar,North Indian Mughlai Chinese,350,Delivery,Banashankari,345
Canton,TRUE,FALSE,36,Jayanagar,Chinese Seafood Biryani,800,Delivery,Banashankari,328
The Blue Wagon  Kitchen,TRUE,FALSE,46,Jayanagar,Cafe Beverages,400,Delivery,Banashankari,461
Patio 805,TRUE,TRUE,41,Jayanagar,Thai Vietnamese Asian Chinese,12,Delivery,Banashankari,394
Lassi Corner,TRUE,FALSE,37,Basavanagudi,Beverages Ice Cream,150,Delivery,Banashankari,332
Sagar Deluxe,TRUE,FALSE,32,Kumaraswamy Layout,South Indian North Indian Chinese Juices,300,Delivery,Banashankari,298
Energy Addaa,TRUE,FALSE,42,Basavanagudi,Salad Healthy Food Sandwich Juices Burger Desserts Pizza,500,Delivery,Banashankari,41
Tandoori Knight,TRUE,FALSE,3,Banashankari,North Indian Chinese Biryani Kebab,450,Delivery,Banashankari,255
Dev Sagar  Food Street,TRUE,FALSE,41,Basavanagudi,Street Food,200,Delivery,Banashankari,397
Mitraa Da Pizza,TRUE,FALSE,38,Kumaraswamy Layout,Fast Food Pizza,250,Delivery,Banashankari,358
Grazers,TRUE,TRUE,39,Jayanagar,Cafe Burger Continental Italian Desserts,650,Delivery,Banashankari,371
Shakes Theory,TRUE,FALSE,45,Jayanagar,Beverages Sandwich,300,Delivery,Banashankari,448
Italy,TRUE,FALSE,41,Kumaraswamy Layout,Italian,700,Delivery,Banashankari,358
Old Mumbai Ice Cream,TRUE,FALSE,39,Banashankari,Ice Cream,150,Delivery,Banashankari,374
Donne Biriyani House,TRUE,FALSE,39,Banashankari,South Indian North Indian Chinese Biryani,400,Delivery,Banashankari,36
KediaS Fun Food,TRUE,FALSE,43,Jayanagar,North Indian Street Food Juices,200,Delivery,Banashankari,423
Just Shawarma,TRUE,FALSE,39,Kumaraswamy Layout,Arabian,300,Delivery,Banashankari,363
Mini Punjabi Dhaba,TRUE,FALSE,42,Banashankari,North Indian,350,Delivery,Banashankari,41
Cafe Down The Alley,TRUE,FALSE,41,Banashankari,Cafe,500,Delivery,Banashankari,397
Gokul Veg,TRUE,FALSE,38,Basavanagudi,North Indian Chinese Beverages,750,Delivery,Banashankari,358
Olive  Era,TRUE,FALSE,33,Kumaraswamy Layout,BBQ Arabian Rolls Chinese North Indian Juices Kebab Desserts,550,Delivery,Banashankari,294
Gama Gama,TRUE,FALSE,39,Banashankari,South Indian,200,Delivery,Banashankari,371
The Vintage Cafe,TRUE,FALSE,3,Banashankari,Cafe French North Indian,400,Delivery,Banashankari,255
Pizza Hut,TRUE,FALSE,38,Banashankari,Pizza Fast Food,750,Delivery,Banashankari,304
Mangalore Pearl,TRUE,FALSE,38,Jayanagar,Mangalorean Seafood Chinese Biryani,650,Delivery,Banashankari,358
Twiststick House,TRUE,FALSE,41,Basavanagudi,Continental Fast Food Street Food Momos,500,Delivery,Banashankari,397
Cool Corner,TRUE,FALSE,42,Basavanagudi,Street Food Fast Food,250,Delivery,Banashankari,41
Pizza Mane,TRUE,FALSE,35,Banashankari,Pizza Sandwich Burger Fast Food,150,Delivery,Banashankari,319
Dal Tadkaa,TRUE,FALSE,25,Banashankari,North Indian,500,,,
Chutney Chang,TRUE,TRUE,41,Jayanagar,North Indian Chinese BBQ,15,Delivery,Banashankari,405
Mystique Palate,TRUE,FALSE,41,Jayanagar,Chinese Fast Food,300,Delivery,Banashankari,397
Thamboola,TRUE,FALSE,39,Banashankari,North Indian Chinese Continental,800,Delivery,Banashankari,368
Castle Rock,TRUE,FALSE,36,Uttarahalli,North Indian Chinese,700,Delivery,Banashankari,332
Vietnamese Kitchen,TRUE,FALSE,36,Banashankari,Vietnamese,700,Delivery,Banashankari,374
Smacznego,TRUE,FALSE,42,Banashankari,Cafe Mexican Italian Momos Beverages,550,Delivery,Banashankari,41
Toscano,TRUE,TRUE,43,Jayanagar,Italian Salad,13,Delivery,Banashankari,437
Stoned Monkey,TRUE,FALSE,43,Banashankari,Desserts Ice Cream,500,Delivery,Banashankari,394
Central Jail Restaurant,TRUE,FALSE,38,Jayanagar,Andhra Seafood North Indian Chinese,700,Delivery,Banashankari,353
Bella,TRUE,TRUE,39,Jayanagar,Mangalorean Seafood South Indian,1,Delivery,Banashankari,371
New Prashanth Hotel,TRUE,FALSE,36,Jayanagar,South Indian Biryani Chinese North Indian,750,Delivery,Banashankari,328
Karma Kaapi,TRUE,FALSE,44,Jayanagar,Beverages Tea,250,Delivery,Banashankari,437
TiwariS,TRUE,FALSE,38,Jayanagar,North Indian Street Food,200,Delivery,Banashankari,364
Pizza Stop,TRUE,FALSE,38,Basavanagudi,Pizza Italian,600,Delivery,Banashankari,334
Biggies Burger N More,TRUE,FALSE,36,Kumaraswamy Layout,Cafe Burger Beverages,650,Delivery,Banashankari,377
SrinathjiS Cafe,FALSE,FALSE,38,Basavanagudi,North Indian Cafe Chinese Fast Food,550,Delivery,Banashankari,358
KollapuriS,FALSE,FALSE,39,Basavanagudi,South Indian Mangalorean,450,Delivery,Banashankari,352
Rs Shiv Sagar,FALSE,FALSE,37,Basavanagudi,North Indian Chinese South Indian Fast Food Juices,450,Delivery,Banashankari,38
Harshi Super Sandwich,FALSE,FALSE,38,Basavanagudi,Fast Food Street Food,150,Delivery,Banashankari,358
Ugadi,TRUE,FALSE,29,Jayanagar,North Indian Chinese Biryani Andhra Mangalorean,700,,,
Subway,TRUE,FALSE,37,Banashankari,Salad Fast Food,600,Delivery,Banashankari,31
The Lassi Park,TRUE,FALSE,41,Jayanagar,Juices Desserts,200,Delivery,Banashankari,397
A2B  Adyar Ananda Bhavan,TRUE,FALSE,38,Mysore Road,South Indian North Indian Chinese Street Food,400,Delivery,Banashankari,282
Srikrishna Bhavan,TRUE,FALSE,38,Banashankari,South Indian North Indian Chinese,300,Delivery,Banashankari,358
Timepass Dinner,TRUE,FALSE,38,Basavanagudi,North Indian,600,Delivery,Banashankari,358
Green Gardenia,TRUE,FALSE,38,Banashankari,North Indian Chinese,700,Delivery,Banashankari,358
J Spice,TRUE,FALSE,38,Banashankari,North Indian Chinese,750,Delivery,Banashankari,358
Hatti Kaapi,TRUE,FALSE,4,Jayanagar,South Indian Beverages,200,Delivery,Banashankari,37
Upahara Darshini,TRUE,FALSE,39,Basavanagudi,North Indian Chinese South Indian Fast Food,600,Delivery,Banashankari,381
The Chaat Shop,TRUE,FALSE,25,Basavanagudi,Fast Food,200,Delivery,Banashankari,19
My Tea House,TRUE,FALSE,36,Banashankari,Italian Fast Food Cafe European,600,Delivery,Banashankari,332
Samskruti  Sanman Gardenia,TRUE,FALSE,41,Jayanagar,North Indian Chinese South Indian,550,Delivery,Banashankari,389
Chumma Delicious,TRUE,FALSE,37,Banashankari,South Indian Fast Food,200,Delivery,Banashankari,345
New Prashanth Hotel,TRUE,FALSE,39,Banashankari,Biryani North Indian Seafood Andhra,650,Delivery,Banashankari,328
Dwaraka Grand,TRUE,FALSE,39,Kumaraswamy Layout,South Indian Chinese Street Food Juices,500,Delivery,Banashankari,371
Gufha  The President Hotel,TRUE,TRUE,41,Jayanagar,North Indian Afghani Mughlai,12,Delivery,Banashankari,397
Cafe Vivacity,TRUE,FALSE,38,Banashankari,Cafe,650,Delivery,Banashankari,358
Mojo Pizza  2X Toppings,TRUE,FALSE,42,Banashankari,Pizza,600,Delivery,Banashankari,412
South Kitchen,TRUE,FALSE,43,Basavanagudi,South Indian,100,Delivery,Banashankari,423
Chung Wah,TRUE,FALSE,37,Jayanagar,Chinese Thai Momos,850,Delivery,Banashankari,364
Prems Graama Bhojanam,TRUE,FALSE,43,Jayanagar,South Indian,400,Delivery,Banashankari,423
Java City,TRUE,FALSE,26,Jayanagar,Cafe American Pizza,450,Delivery,Banashankari,197
Kamat Bugle Rock,TRUE,FALSE,39,Basavanagudi,South Indian Fast Food,300,Delivery,Banashankari,371
Woodee Pizza,TRUE,FALSE,37,Banashankari,Cafe Pizza Fast Food Beverages,500,Delivery,Banashankari,236
Puliyogare Point,TRUE,FALSE,42,Basavanagudi,South Indian,100,Delivery,Banashankari,41
Bangalore Agarwal Bhavan,TRUE,FALSE,39,Jayanagar,Street Food North Indian South Indian,400,Delivery,Banashankari,371
Rustic Stove,TRUE,FALSE,38,Jayanagar,North Indian South Indian Biryani Beverages,900,Delivery,Banashankari,356
De Thaali,TRUE,FALSE,39,Jayanagar,North Indian Chinese Rolls,550,Delivery,Banashankari,371
Spice Elephant,TRUE,FALSE,41,Banashankari,Chinese North Indian Thai,800,Delivery,Banashankari,397
Matru Sagar,TRUE,FALSE,36,Banashankari,South Indian North Indian Chinese,250,Delivery,Banashankari,363
Sea Spice By 7 Star,TRUE,TRUE,4,Banashankari,Seafood Biryani Beverages South Indian North Indian Kebab,12,Delivery,Banashankari,384
Desi Dawat,TRUE,FALSE,37,Kumaraswamy Layout,North Indian Fast Food,400,Delivery,Banashankari,345
Cafe Aira,TRUE,FALSE,41,Basavanagudi,Cafe Continental Beverages Desserts,500,Delivery,Banashankari,397
Penthouse Cafe,TRUE,FALSE,4,Banashankari,Cafe Italian Continental,700,Delivery,Banashankari,384
Mast Punjabi,TRUE,FALSE,26,Kumaraswamy Layout,North Indian Chinese Rolls Biryani Kebab,400,,,
South Grand,TRUE,FALSE,34,Uttarahalli,South Indian North Indian Chinese Beverages,400,Delivery,Banashankari,306
CatchUpIno,TRUE,FALSE,39,Banashankari,Cafe Fast Food Continental Chinese Momos,800,Delivery,Banashankari,371
The Pizzeria,TRUE,FALSE,28,Banashankari,Pizza Italian Salad,800,Delivery,Banashankari,229
Ruchis Point,TRUE,FALSE,38,Banashankari,Fast Food Chinese,200,Delivery,Banashankari,358
Firangi Bake,TRUE,FALSE,4,Rajarajeshwari Nagar,Mexican Italian,600,Delivery,Banashankari,384
The Royal Corner  Pai Viceroy,TRUE,TRUE,42,Jayanagar,North Indian Chinese,900,Delivery,Banashankari,41
Hara Fine Dine,TRUE,TRUE,4,Banashankari,North Indian Chinese,800,Delivery,Banashankari,384
Chocoberry,TRUE,FALSE,35,Jayanagar,Ice Cream Desserts Beverages,400,Delivery,Banashankari,321
WaffleAGo Go,TRUE,FALSE,39,Banashankari,Fast Food Desserts Ice Cream,400,Delivery,Banashankari,371
Cross Road Cafe,TRUE,FALSE,39,Jayanagar,Cafe Fast Food Chinese,300,Delivery,Banashankari,371
Bakers Town,TRUE,FALSE,38,Kumaraswamy Layout,Cafe Continental Fast Food,650,Delivery,Banashankari,334
Ivy,TRUE,FALSE,38,Kumaraswamy Layout,North Indian Chinese Fast Food,600,Delivery,Banashankari,358
The Airos,TRUE,FALSE,41,Jayanagar,Cafe Italian Pizza,650,Delivery,Banashankari,397
Chai Kraft,TRUE,FALSE,41,Jayanagar,Beverages Tea,100,Delivery,Banashankari,397
KirthiS Biryani,TRUE,FALSE,38,Banashankari,Chinese Cafe Italian,700,Delivery,Banashankari,358
The Trundle,TRUE,FALSE,37,Jayanagar,Chinese Thai Continental North Indian,700,Delivery,Banashankari,345
The Krishna Grand Xpress,TRUE,FALSE,4,Jayanagar,South Indian Fast Food,350,Delivery,Banashankari,384
Udupi Grand,TRUE,FALSE,38,Basavanagudi,South Indian North Indian Chinese,300,Delivery,Banashankari,291
Little Cafe,TRUE,FALSE,37,Basavanagudi,Cafe Beverages,600,Delivery,Banashankari,345
1980S Games Cafe,TRUE,FALSE,34,Basavanagudi,Cafe Fast Food,400,Delivery,Banashankari,306
Kadala Tarangaa,TRUE,FALSE,36,Banashankari,Mangalorean Seafood North Indian,600,Delivery,Banashankari,332
As On Fire,TRUE,FALSE,35,South Bangalore,Pizza Fast Food BBQ,400,Delivery,Banashankari,334
Curry Leaves,TRUE,FALSE,41,Basavanagudi,Andhra North Indian Chinese,800,Delivery,Banashankari,372
Magic Meals,TRUE,FALSE,37,Jayanagar,Fast Food Desserts Beverages,400,Delivery,Banashankari,345
Desi Cream Junction,TRUE,TRUE,37,Jayanagar,Chinese North Indian Pizza Italian,650,Delivery,Banashankari,345
Eat Repeat,TRUE,FALSE,39,Basavanagudi,South Indian,150,Delivery,Banashankari,371
Salut,TRUE,TRUE,41,Jayanagar,Continental Finger Food Seafood Pizza,12,Delivery,Banashankari,397
Sandwich MamaS And Frozen Monster,TRUE,FALSE,38,Jayanagar,Ice Cream Beverages Fast Food,250,Delivery,Banashankari,358
Food Springs,TRUE,FALSE,4,Jayanagar,South Indian Chinese,400,,,
ChungS Chinese Corner,TRUE,FALSE,39,Jayanagar,Chinese,700,Delivery,Banashankari,3
Eurasia Pasta And Barbeque By Little Italy,TRUE,TRUE,41,Jayanagar,Italian Fast Food Salad BBQ,12,Delivery,Banashankari,395
Goli Vada Pav No 1,TRUE,FALSE,37,Basavanagudi,Street Food,200,Delivery,Banashankari,328
RagooS,TRUE,FALSE,39,Jayanagar,Italian Pizza North Indian Salad,800,Delivery,Banashankari,371
Pure  Natural,TRUE,FALSE,39,Jayanagar,Fast Food Continental Beverages Salad Healthy Food,500,Delivery,Banashankari,31
Maiyas,TRUE,FALSE,4,Jayanagar,North Indian South Indian Fast Food Juices,200,Delivery,Banashankari,38
Sip N Dine,TRUE,FALSE,36,Vijay Nagar,North Indian Chinese South Indian,800,Delivery,Banashankari,332
Cafe Mondo,TRUE,FALSE,37,Basavanagudi,Cafe Italian Beverages,600,Delivery,Banashankari,339
Jalpaan,TRUE,TRUE,4,Jayanagar,North Indian Continental,900,Delivery,Banashankari,379
KatariaS Pakwan,TRUE,FALSE,32,Kumaraswamy Layout,North Indian,400,Delivery,Banashankari,288
Juicy Momos,TRUE,FALSE,35,Banashankari,Tibetan Momos,250,Delivery,Banashankari,321
Amande Patisserie,TRUE,FALSE,4,Basavanagudi,Bakery French Desserts,300,Delivery,Banashankari,402
Anand Sweets And Savouries,TRUE,FALSE,39,Jayanagar,Mithai Street Food,400,Delivery,Banashankari,394
Chicken Hunt,TRUE,FALSE,35,Banashankari,South Indian North Indian Chinese Biryani,350,Delivery,Banashankari,319
Swadesh Tadka,TRUE,FALSE,35,Banashankari,North Indian Chinese Beverages,600,Delivery,Banashankari,319
CaneOLa,TRUE,FALSE,38,Basavanagudi,Juices,100,Delivery,Banashankari,358
New Biryani Mane,TRUE,FALSE,37,Uttarahalli,North Indian Chinese Biryani South Indian,450,Delivery,Banashankari,345
Upahara Darshini,TRUE,FALSE,38,Jayanagar,South Indian North Indian Chinese,400,Delivery,Banashankari,381
Karnataka Bhel House,TRUE,FALSE,41,Basavanagudi,Street Food,100,Delivery,Banashankari,392
Sreeraj Lassi Bar,TRUE,FALSE,41,Jayanagar,Beverages,150,Delivery,Banashankari,38
BuntS Biriyani Palace,TRUE,FALSE,3,Banashankari,North Indian South Indian Chinese Biryani Seafood,400,Delivery,Banashankari,255
Chai Point,TRUE,FALSE,32,Jayanagar,Tea Beverages Fast Food,250,,,
Janahaar,TRUE,FALSE,38,Banashankari,South Indian,100,Delivery,Banashankari,358
Redberrys,TRUE,FALSE,4,Basavanagudi,Cafe Italian,600,Delivery,Banashankari,384
Utsav,TRUE,FALSE,37,Banashankari,North Indian Street Food,200,Delivery,Banashankari,345
The Spice Saga,TRUE,FALSE,37,Kumaraswamy Layout,Biryani North Indian Chinese Seafood,750,Delivery,Banashankari,345
Jalsa,TRUE,TRUE,41,Banashankari,North Indian Mughlai Chinese,800,Delivery,Banashankari,399
Subz,TRUE,TRUE,42,Jayanagar,North Indian South Indian,1,Delivery,Banashankari,41
Cafe Shuffle,TRUE,TRUE,42,Banashankari,Cafe Italian Continental,600,Delivery,Banashankari,41
Mint And Mustard,TRUE,FALSE,4,Basavanagudi,North Indian Chinese,750,Delivery,Banashankari,384
Punjabi Raswada,TRUE,TRUE,35,Jayanagar,North Indian,800,Delivery,Banashankari,321
VinnyS,TRUE,TRUE,42,Banashankari,Pizza Italian Continental Desserts,800,Delivery,Banashankari,387
Sukh Sagar,TRUE,FALSE,38,Jayanagar,South Indian North Indian Chinese Street Food,450,Delivery,Banashankari,331
Andhra Ruchulu,TRUE,TRUE,41,Jayanagar,Andhra Biryani North Indian Chinese,1,Delivery,Banashankari,382
Steaming Mugs,TRUE,FALSE,39,Basavanagudi,Cafe,700,Delivery,Banashankari,373
San Churro Cafe,TRUE,FALSE,38,Banashankari,Cafe Mexican Italian,800,Delivery,Banashankari,358
Rajathadri Food Fort,TRUE,FALSE,4,Jayanagar,South Indian North Indian Chinese Street Food,600,Delivery,Banashankari,384
Brew Meister,TRUE,TRUE,41,Jayanagar,North Indian Continental Finger Food American Asian,15,Delivery,Banashankari,397
Rasoi,TRUE,FALSE,33,Banashankari,North Indian Chinese,300,Delivery,Banashankari,294
Mr Singh Da Dhaba,TRUE,FALSE,36,Kumaraswamy Layout,North Indian Chinese,300,Delivery,Banashankari,332
Ayodhya Upachar,TRUE,FALSE,43,Banashankari,South Indian North Indian Chinese Street Food,200,Delivery,Banashankari,423
Biriyani Mane,TRUE,FALSE,38,Jayanagar,North Indian Biryani,400,Delivery,Banashankari,351
Cafe Ajfan,TRUE,FALSE,42,Jayanagar,Cafe Continental Beverages,700,Delivery,Banashankari,41
Brundhavana Food Point,TRUE,FALSE,4,Kumaraswamy Layout,South Indian North Indian Chinese Street Food Beverages,300,Delivery,Banashankari,384
Slv Corner Restaurant,TRUE,FALSE,41,Basavanagudi,South Indian Chinese North Indian Street Food Rolls Juices,550,Delivery,Banashankari,397
The Krishna Grand,TRUE,FALSE,39,Banashankari,North Indian South Indian Chinese Fast Food Juices,750,Delivery,Banashankari,371
Roti Ghar,TRUE,FALSE,39,Basavanagudi,North Indian Chinese South Indian,500,Delivery,Banashankari,371
The Coffee Shack,TRUE,TRUE,42,Banashankari,Cafe Chinese Continental Italian,500,Delivery,Banashankari,41
Baisakhi,TRUE,FALSE,38,Basavanagudi,North Indian,500,Delivery,Banashankari,358
Corner House Ice Cream,FALSE,FALSE,43,Banashankari,Ice Cream Desserts,400,Desserts,Banashankari,444
Poonam Sweets,FALSE,FALSE,44,Banashankari,Mithai,150,Desserts,Banashankari,435
Old Mumbai Ice Cream,TRUE,FALSE,39,Banashankari,Ice Cream,150,Desserts,Banashankari,374
Polar Bear,TRUE,FALSE,39,Banashankari,Ice Cream Desserts Beverages Sandwich,400,Desserts,Banashankari,385
San Churro Cafe,TRUE,FALSE,38,Banashankari,Cafe Mexican Italian,800,Desserts,Banashankari,358
KirthiS Biryani,TRUE,FALSE,38,Banashankari,Chinese Cafe Italian,700,Desserts,Banashankari,358
Stoned Monkey,TRUE,FALSE,43,Banashankari,Desserts Ice Cream,500,Desserts,Banashankari,394
FlouredBaked With Love,FALSE,FALSE,38,Banashankari,Bakery,400,Desserts,Banashankari,358
WaffleAGo Go,TRUE,FALSE,39,Banashankari,Fast Food Desserts Ice Cream,400,Desserts,Banashankari,371
Sri Venkateshwara Sweet Meat Stall,FALSE,FALSE,4,Basavanagudi,Mithai Street Food North Indian Chinese,400,Desserts,Banashankari,39
Redberrys,TRUE,FALSE,4,Basavanagudi,Cafe Italian,600,Desserts,Banashankari,384
Amande Patisserie,TRUE,FALSE,4,Basavanagudi,Bakery French Desserts,300,Desserts,Banashankari,402
A2B Veg  Adyar Ananda Bhavan,TRUE,FALSE,27,Basavanagudi,South Indian North Indian Chinese Street Food,400,Desserts,Banashankari,225
The Krishna Grand,TRUE,FALSE,39,Banashankari,North Indian South Indian Chinese Fast Food Juices,750,Dineout,Banashankari,371
Sea Spice By 7 Star,TRUE,TRUE,4,Banashankari,Seafood Biryani Beverages South Indian North Indian Kebab,12,Dineout,Banashankari,384
Mini Punjabi Dhaba,TRUE,FALSE,42,Banashankari,North Indian,350,Dineout,Banashankari,41
Onesta,TRUE,TRUE,46,Banashankari,Pizza Cafe Italian,600,Dineout,Banashankari,437
Wamama,TRUE,TRUE,42,Banashankari,Asian Korean Indonesian Japanese Chinese Thai Momos,800,,,
